wl,fighterx,fightery,agex,heightx,reachx,slpmx,stacx,sapmx,tdavgx,tdaccx,tddefx,subavgx,winsx,lossesx,drawsx,stanceopenstancex,stanceorthodoxx,stancesouthpawx,stanceswitchx,agey,heighty,reachy,slpmy,stacy,sapmy,tdavgy,tdaccy,tddefy,subavgy,winsy,lossesy,drawsy,stanceopenstancey,stanceorthodoxy,stancesouthpawy,stanceswitchy
0,Ben Rothwell,Mark Hunt,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,49,70,72,2,43,51,0,55,64,0,13,14,1,0,1,0,0
1,Ben Rothwell,Gilbert Yvel,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,47,74,77,1,47,50,0,0,25,1,39,16,1,0,1,0,0
0,Ben Rothwell,Andrei Arlovski,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,45,75,77,3,45,57,0,36,76,0,34,23,0,0,1,0,0
1,Ben Rothwell,Chris Barnett,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,37,69,75,4,48,40,0,0,33,0,23,8,0,0,1,0,0
0,Ben Rothwell,Marcin Tybura,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,38,75,78,3,48,55,1,33,79,0,24,8,0,0,1,0,0
1,Ben Rothwell,Brendan Schaub,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,40,76,78,2,37,57,2,46,72,0,10,5,0,0,1,0,0
0,Ben Rothwell,Blagoy Ivanov,42,76,78,3,42,47,0,34,70,0,39,14,0,0,1,0,0,37,71,73,3,40,53,0,40,61,0,19,6,0,0,0,1,0
1,Ben Saunders,Marcus Davis,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,50,70,70,2,39,65,1,48,47,1,22,11,0,0,0,1,0
0,Ben Saunders,Sergio Moraes,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,41,72,72,2,42,59,1,38,75,0,14,6,1,0,1,0,0
0,Ben Saunders,Patrick Cote,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,44,71,75,2,48,48,0,20,43,0,23,11,0,0,1,0,0
1,Ben Saunders,Jake Ellenberger,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,38,69,71,2,39,60,2,47,86,0,31,15,0,0,1,0,0
1,Ben Saunders,Kenny Robertson,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,40,70,74,3,47,52,1,26,57,0,15,5,0,0,1,0,0
0,Ben Saunders,Matt Brown,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,43,72,75,3,55,55,1,46,63,1,26,19,0,0,1,0,0
1,Ben Saunders,Court McGee,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,39,71,75,4,37,60,1,25,69,0,22,12,0,0,1,0,0
0,Ben Saunders,Lyman Good,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,38,72,74,5,48,63,0,10,75,0,21,6,0,0,1,0,0
1,Ben Saunders,Joe Riggs,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,41,72,70,2,51,57,2,55,62,0,44,17,0,0,0,1,0
0,Ben Saunders,Alan Jouban,40,74,77,3,50,51,0,40,66,1,22,13,2,0,1,0,0,42,72,73,5,50,60,0,44,58,0,17,7,0,0,0,1,0
0,Ben Sosoli,Marcos Rogerio de Lima,34,72,72,2,31,47,0,0,0,0,7,3,0,0,0,1,0,38,73,75,3,57,51,1,45,59,0,22,10,1,0,1,0,0
1,Beneil Dariush,Diego Ferreira,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,39,69,74,4,37,56,0,22,63,0,18,5,0,0,1,0,0
1,Beneil Dariush,Diego Ferreira,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,39,69,74,4,37,56,0,22,63,0,18,5,0,0,1,0,0
1,Beneil Dariush,Daron Cruickshank,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,38,68,72,2,38,57,2,41,60,0,18,10,0,0,0,0,1
1,Beneil Dariush,Scott Holtzman,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,40,69,69,4,47,55,1,56,67,0,14,6,0,0,1,0,0
0,Beneil Dariush,Alexander Hernandez,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,31,69,72,4,41,56,1,31,60,0,14,7,0,0,1,0,0
1,Beneil Dariush,Thiago Moises,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,28,69,70,2,39,54,1,40,56,1,17,7,0,0,1,0,0
1,Beneil Dariush,Mateusz Gamrot,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,33,70,70,2,50,60,4,30,90,0,23,2,0,0,0,1,0
1,Beneil Dariush,Anthony Rocco Martin,34,70,72,3,48,57,1,34,80,0,22,6,1,0,0,1,0,34,72,73,2,37,58,0,27,68,1,17,6,0,0,1,0,0
1,Benito Lopez,Albert Morales,29,70,73,4,45,56,0,0,73,0,10,2,0,0,0,0,1,32,69,72,3,35,56,0,35,70,0,7,4,1,0,1,0,0
1,Benoit Saint Denis,Niklas Stolze,28,71,73,5,52,44,4,36,66,1,13,1,0,0,0,1,0,31,73,74,2,48,49,0,10,55,0,12,6,0,0,0,0,1
1,Benoit Saint Denis,Gabriel Miranda,28,71,73,5,52,44,4,36,66,1,13,1,0,0,0,1,0,33,71,71,3,51,39,4,40,0,2,17,6,0,0,1,0,0
0,Benson Henderson,Donald Cerrone,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,40,73,73,4,46,53,1,33,73,1,36,17,0,0,1,0,0
0,Benson Henderson,Anthony Pettis,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,37,70,72,3,47,54,0,50,60,1,24,10,0,0,1,0,0
1,Benson Henderson,Nate Diaz,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,38,72,76,4,45,52,1,30,41,1,22,13,0,0,0,1,0
1,Benson Henderson,Josh Thomson,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,45,70,71,2,47,64,1,39,54,1,22,9,0,0,1,0,0
1,Benson Henderson,Frankie Edgar,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,42,66,68,3,40,65,2,31,65,0,23,11,1,0,1,0,0
1,Benson Henderson,Jorge Masvidal,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,39,71,74,4,47,64,1,59,72,0,35,17,0,0,1,0,0
1,Benson Henderson,Jim Miller,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,40,68,71,2,42,58,1,44,48,1,37,17,0,0,0,1,0
1,Benson Henderson,Clay Guida,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,42,67,70,2,33,61,3,36,67,0,38,21,0,0,1,0,0
1,Benson Henderson,Gilbert Melendez,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,41,69,73,3,33,63,1,41,71,0,22,8,0,0,1,0,0
1,Benson Henderson,Mark Bocek,40,69,70,2,45,63,2,45,63,0,24,7,0,0,0,1,0,42,68,75,2,43,60,3,36,31,1,12,5,0,0,1,0,0
1,Bethe Correia,Jessica Eye,40,65,64,4,43,56,0,18,85,0,11,6,1,0,1,0,0,37,66,66,3,37,55,0,40,57,0,15,11,0,0,1,0,0
