fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Kevin Syler,30.0,69,71,5.6,69,48,1.0,40,77,2.0,10,1,0
David Loiseau,44.0,72,76,1.59,44,43,0.43,42,36,0.1,23,11,0
Raphael Assuncao,41.0,65,66,3.22,42,66,1.65,39,78,0.2,28,10,0
Wellington Turman,27.0,72,72,3.23,51,45,1.55,20,42,0.8,18,8,0
Montserrat Conejo Ruiz,31.0,60,61,0.79,27,37,2.05,83,33,0.8,10,4,0
William Knight,35.0,70,73,2.62,56,35,1.78,40,48,0.4,11,5,0
Hashem Arkhagha,34.0,74,75,1.84,44,43,0.0,0,50,0.0,6,1,0
Frank Gomez,37.0,70,67,1.52,48,66,1.14,60,70,0.8,10,6,0
Diego Rivas,32.0,68,69,1.37,40,52,1.79,60,64,0.9,10,2,0
Gerald Meerschaert,36.0,73,77,3.3,44,53,2.01,37,34,1.5,35,17,0
Ildemar Alcantara,41.0,74,78,1.93,38,50,2.0,68,81,0.9,21,11,0
Bahatebole Batebolati,26.0,71,71,4.34,47,64,2.04,10,10,0.0,8,1,1
Justin Lawrence,33.0,68,67,3.84,35,67,0.72,28,73,0.0,10,4,0
Rogerio Nogueira,47.0,74,75,2.43,35,59,0.64,44,62,0.8,23,10,0
Nate Marquardt,44.0,72,74,2.71,49,55,1.87,51,70,0.8,35,19,2
Mara Romero Borella,37.0,66,69,2.54,37,71,1.83,44,66,0.2,12,9,0
Charles McCarthy,43.0,70,71,0.18,12,56,2.67,60,0,2.7,10,5,0
Thomas Almeida,32.0,67,70,4.84,43,61,0.17,14,75,0.0,22,5,0
Felipe dos Santos,23.0,67,70,4.53,34,40,0.0,0,16,0.5,8,1,0
Juancamilo Ronderos,29.0,63,64,2.18,30,63,2.72,33,0,0.0,4,2,0
Andre Petroski,32.0,72,73,3.61,51,51,4.48,54,71,2.5,10,3,0
Joanderson Brito,29.0,68,72,3.32,51,47,3.4,75,50,0.8,16,3,1
Kris Moutinho,31.0,67,68,4.86,32,28,0.0,0,0,0.0,9,6,0
Jhonoven Pati,33.0,73,75,2.88,53,33,2.7,10,0,0.0,6,4,0
Raul Rosas Jr.,19.0,69,67,1.28,44,46,3.57,33,0,1.8,8,1,0
Mario Piazzon,25.0,69,73,1.35,73,40,18.8,50,50,0.0,8,0,0
Darren Till,31.0,72,74,2.3,46,56,0.55,46,69,0.0,18,5,1
Gegard Mousasi,38.0,74,76,3.75,50,68,1.59,60,59,1.1,42,6,2
Daniel Teymur,36.0,65,69,3.08,46,56,0.56,18,60,0.3,7,4,0
Roan Carneiro,45.0,71,76,1.46,46,62,3.05,42,83,1.4,21,11,0
Houston Alexander,51.0,72,72,3.06,54,52,1.19,57,33,0.0,17,15,1
James Krause,37.0,74,73,4.79,49,61,0.96,18,59,0.9,28,9,0
Lukasz Brzeski,31.0,76,78,5.08,48,57,0.64,50,42,0.6,8,4,1
Bruno Silva,34.0,72,74,4.43,51,43,1.09,27,73,0.0,23,10,0
Raoni Barcelos,36.0,67,67,5.22,51,61,1.86,32,85,0.6,18,5,0
Sheymon Moraes,33.0,68,72,3.0,42,63,0.0,0,53,0.0,11,4,0
Paddy Pimblett,29.0,70,73,5.13,52,41,0.98,25,56,1.6,21,3,0
Jessica Andrade,32.0,61,62,6.67,50,54,2.45,54,72,0.4,25,12,0
Bill Algeo,34.0,72,73,6.11,52,47,0.89,46,56,0.1,18,7,0
Trey Ogden,34.0,71,72,3.64,47,58,1.29,16,10,0.8,16,6,0
Krzysztof Soszynski,46.0,73,77,3.37,39,58,0.52,25,71,1.0,26,12,1
Rich Franklin,49.0,73,76,4.1,44,62,1.31,66,63,0.7,29,7,0
JJ Okanovich,33.0,71,76,6.93,55,50,0.0,0,10,0.0,7,1,0
Ben Saunders,40.0,74,77,3.23,50,51,0.2,40,66,1.3,22,13,2
Mairbek Taisumov,35.0,69,73,2.98,39,64,1.34,63,88,0.0,27,6,0
Dongi Yang,39.0,70,73,3.55,51,63,1.7,41,61,0.5,13,3,0
Eliot Marshall,43.0,74,77,1.93,27,67,0.47,33,79,0.9,10,4,0
Jose Henrique,21.0,75,79,3.45,43,38,0.0,0,0,0.0,5,1,0
Darko Stosic,32.0,72,76,2.61,45,58,3.42,50,83,0.0,13,4,0
Jaime Alvarez,35.0,68,69,2.73,40,56,1.0,33,50,0.0,6,1,0
Brian Foster,39.0,69,71,3.3,39,65,3.67,60,37,1.8,27,10,0
Francisco Rivera,42.0,68,70,4.07,41,68,1.01,63,68,0.6,11,7,0
Tiffany Masters,29.0,63,65,3.53,62,50,3.06,60,0,0.0,2,1,0
Bea Malecki,32.0,69,74,6.84,46,62,0.0,0,78,1.1,4,1,0
Jodie Esquibel,37.0,61,64,4.1,31,52,0.75,21,83,0.0,6,6,0
Takanori Gomi,45.0,67,70,3.81,41,60,1.23,65,63,0.8,35,14,0
Lauren Mueller,32.0,65,67,4.08,41,58,0.7,50,71,0.0,5,3,0
Nayara Maia,33.0,65,66,0.6,36,43,1.0,33,0,1.0,7,1,1
Lucas Rocha,23.0,63,64,1.51,53,33,0.0,0,66,0.0,17,1,0
Barb Honchak,44.0,64,65,4.04,30,66,0.0,0,0,1.3,10,4,0
Jiniushiyue,23.0,68,69,2.86,39,61,1.3,66,80,0.0,13,3,0
Jimi Manuwa,44.0,73,79,3.43,54,49,0.53,18,70,0.4,17,6,0
Jorge Rivera,52.0,73,73,3.16,48,54,0.84,50,63,0.1,20,9,0
Gesias Cavalcante,40.0,68,71,1.98,35,51,1.25,36,66,1.1,21,10,1
Taneisha Tennant,34.0,67,70,5.67,55,71,0.0,0,10,0.0,5,1,0
Francis Marshall,25.0,69,72,3.66,33,53,3.29,50,0,0.7,7,2,0
Kazuhiro Nakamura,44.0,71,70,1.56,37,59,1.73,36,42,0.6,21,13,0
Eli Aronov,27.0,70,72,8.92,68,38,12.1,10,0,0.0,6,1,0
Davey Grant,38.0,68,69,4.77,42,55,1.26,41,61,0.2,15,7,0
Lukasz Sajewski,33.0,68,71,2.06,35,57,1.01,25,66,0.0,13,3,0
Felipe Arantes,36.0,68,73,2.37,45,64,0.93,47,41,0.7,18,10,1
Yves Jabouin,44.0,67,68,3.06,41,62,1.94,60,82,0.1,20,11,0
Julia Avila,35.0,67,68,2.59,43,50,0.54,33,50,0.3,9,3,0
Andre Ewell,36.0,68,75,4.28,40,51,0.36,75,72,0.1,17,9,0
Jon Fitch,46.0,72,74,2.61,50,54,3.6,51,56,0.8,30,7,1
Jimy Hettes,36.0,69,71,3.47,57,57,5.2,44,61,1.4,11,3,0
Lyoto Machida,45.0,73,74,2.59,53,61,1.21,65,75,0.4,24,8,0
Brock Lesnar,46.0,75,81,3.53,72,50,3.9,55,60,0.5,5,3,0
Adam Fugitt,35.0,73,77,4.3,54,48,3.43,33,50,0.0,9,4,0
Viviane Araujo,37.0,64,68,4.11,47,56,1.76,40,78,0.6,12,6,0
Ryan LaFlare,40.0,73,74,2.89,40,63,2.13,44,58,0.2,14,3,0
Cody Garbrandt,32.0,68,65,3.06,40,60,1.1,34,80,0.0,14,5,0
Edwin Figueroa,39.0,67,69,2.57,39,51,0.2,10,37,0.6,9,5,0
Mizuki,29.0,63,65,4.56,50,48,0.33,14,85,0.0,15,6,0
Daniel Pineda,38.0,67,69,3.09,49,46,1.71,25,48,1.7,28,15,0
Hector Urbina,36.0,71,73,0.97,38,39,0.0,0,38,3.8,17,10,1
Andy Enz,32.0,75,78,3.51,23,57,0.0,0,58,0.0,10,4,0
Valerie Letourneau,40.0,67,68,4.51,37,58,0.77,45,66,0.3,8,6,0
Montel Jackson,31.0,70,75,3.36,53,64,3.42,71,69,0.3,13,2,0
Dmitry Sosnovskiy,34.0,75,77,2.95,70,35,3.16,66,10,3.2,11,0,0
Eddie Wineland,39.0,67,69,3.4,29,68,0.34,33,86,0.1,24,16,1
Luke Zachrich,42.0,74,74,4.56,32,62,0.74,33,80,0.0,14,4,0
Goran Reljic,39.0,75,81,1.69,37,59,1.69,50,33,1.1,15,8,0
John Gunderson,45.0,69,69,1.04,27,58,1.67,33,11,2.0,35,16,2
Claudio Ribeiro,31.0,73,77,4.65,57,31,0.76,50,75,0.0,11,4,0
Joseph Benavidez,39.0,64,65,3.52,34,61,1.41,30,62,0.6,28,8,0
Kevin Jousset,30.0,74,75,8.23,55,53,1.51,66,10,0.8,10,2,0
Anthony Njokuani,44.0,73,75,3.94,46,65,0.5,45,53,0.2,16,12,0
Kai Kamaka,29.0,67,69,4.96,57,55,1.93,58,52,0.3,8,4,1
Billy Quarantillo,35.0,70,70,7.71,57,43,1.31,23,63,1.2,18,5,0
Spike Carlyle,30.0,68,71,2.55,54,30,3.34,36,57,0.5,9,3,0
MinWoo Kim,30.0,68,72,0.0,0,0,0.0,0,0,0.0,10,2,0
Victor Altamirano,33.0,68,70,4.55,57,54,3.43,39,63,0.0,12,4,0
Sasha Palatnikov,34.0,73,72,6.69,53,52,0.72,10,70,0.0,6,4,0
Valesca Machado,27.0,64,63,2.4,32,64,0.0,0,76,0.0,8,3,0
Shara Magomedov,29.0,74,73,7.53,73,28,0.0,0,57,0.0,12,0,0
John Makdessi,38.0,68,68,5.52,49,68,0.0,0,86,0.0,18,9,0
Joachim Christensen,45.0,75,76,3.78,41,46,0.0,0,0,0.0,14,6,0
Derrick Lewis,39.0,75,79,2.43,50,40,0.53,26,53,0.0,27,12,0
Elias Theodorou,35.0,73,75,4.19,42,53,1.27,28,59,0.0,16,3,0
Shimon Smotritsky,23.0,74,74,3.52,34,56,3.52,33,50,0.0,8,2,0
Maximo Blanco,40.0,68,71,4.11,44,66,1.85,36,63,0.3,12,8,1
Abdul Razak Alhassan,38.0,70,73,3.37,48,55,0.89,38,50,0.2,12,6,0
Jesse Ronson,38.0,70,70,3.54,47,57,0.46,28,57,0.5,21,12,0
Leon Edwards,32.0,74,74,2.75,53,54,1.25,34,70,0.4,22,3,0
James Moontasri,35.0,70,71,2.39,48,40,0.0,0,79,0.2,9,5,0
Eduardo Garagorri,34.0,69,70,3.42,51,58,0.48,10,61,0.0,13,2,0
Claude Patrick,43.0,71,75,1.8,55,69,2.32,53,84,1.7,14,2,0
James Bochnovic,35.0,76,81,0.65,26,21,0.0,0,0,0.0,8,3,0
Chris de la Rocha,44.0,75,80,4.08,45,43,2.02,30,33,1.0,5,3,0
Roxanne Modafferi,41.0,67,69,3.35,30,51,1.35,23,30,0.1,25,21,0
Nordine Taleb,42.0,73,74,3.66,51,66,1.94,76,73,0.0,15,7,0
Christian Leroy Duncan,28.0,74,79,5.06,59,47,0.0,0,50,0.0,9,1,0
Charlie Ontiveros,32.0,74,74,1.89,41,31,0.0,0,30,0.0,11,9,0
Igor Da Silva,20.0,67,69,9.85,55,47,9.85,10,0,0.0,8,0,0
Olivier Aubin-Mercier,35.0,69,70,2.48,51,55,2.36,33,70,0.5,11,5,0
Steve Bosse,42.0,71,72,5.99,52,50,0.92,33,10,0.0,12,2,0
Jordan Griffin,34.0,70,73,2.52,46,50,1.45,35,42,1.9,18,9,0
Gabriel Bonfim,26.0,73,72,4.87,40,59,4.75,71,10,3.8,15,1,0
Brad Tavares,36.0,73,74,3.38,43,55,0.78,26,81,0.0,20,10,0
Steven Koslow,27.0,67,69,0.77,37,40,5.28,55,0,1.1,6,1,0
Jared Hamman,42.0,75,75,5.15,42,55,1.57,46,30,0.0,14,6,0
Daron Cruickshank,38.0,68,72,2.88,38,57,2.04,41,60,0.2,18,10,0
Naoyuki Kotani,42.0,68,66,1.02,31,50,0.83,16,46,0.8,34,14,7
Jamie Varner,39.0,68,71,2.92,34,58,3.49,53,66,0.8,21,11,1
Timo Feucht,28.0,75,79,0.0,0,0,0.0,0,0,0.0,8,1,0
Sandra Lavado,29.0,67,66,0.87,37,34,0.0,0,33,0.0,10,3,0
Heath Herring,46.0,76,78,2.37,50,54,1.22,50,32,0.7,28,16,0
Aljamain Sterling,34.0,67,71,4.73,52,58,1.97,24,45,0.8,23,4,0
Tuco Tokkos,33.0,76,75,5.57,40,43,3.8,10,0,0.0,7,3,0
Cole Williams,40.0,72,73,0.31,27,23,0.0,0,25,0.0,11,3,0
Akitoshi Tamura,43.0,69,70,3.73,43,78,0.0,0,20,1.0,21,18,2
Pietro Menga,36.0,67,68,0.0,0,0,0.0,0,0,0.0,13,0,0
Mike Davis,31.0,72,72,5.83,52,56,3.04,53,69,0.2,10,2,0
Gadzhi Omargadzhiev,31.0,73,71,1.8,39,39,1.35,30,60,0.5,13,2,0
Robbie Ring,23.0,69,68,5.11,38,38,4.04,33,0,0.0,6,1,0
Mike Swick,44.0,73,77,2.36,37,54,1.06,50,61,0.6,15,6,0
Mike Kyle,43.0,76,77,3.93,51,49,1.33,62,50,0.8,22,14,1
Chico Camus,39.0,66,66,2.58,41,64,0.77,40,72,0.4,17,7,0
Cole Escovedo,42.0,67,72,1.77,43,49,0.43,33,13,0.0,17,9,0
Tarec Saffiedine,37.0,70,70,4.05,47,62,0.52,36,84,0.1,16,7,0
Corey Hill,45.0,76,80,3.57,46,70,3.02,80,10,0.0,6,9,0
Victor Rodriguez,31.0,65,67,1.59,37,50,0.0,0,0,0.0,7,4,0
Joe Stevenson,41.0,67,70,2.05,44,60,2.75,44,39,2.2,33,16,0
Dan Hardy,41.0,72,74,2.46,35,51,0.73,35,35,0.4,25,10,0
Ketlen Vieira,32.0,68,68,3.04,41,51,1.51,44,92,0.6,14,3,0
Alexander Munoz,34.0,69,72,3.7,42,55,3.0,40,10,0.0,7,2,0
Will Brooks,37.0,70,72,4.26,59,56,2.08,51,82,0.3,18,4,0
Kailin Curran,32.0,64,65,3.89,43,53,2.0,57,61,0.6,4,5,0
Tyson Griffin,39.0,66,68,3.71,41,65,1.87,46,59,0.9,16,8,0
Garett Whiteley,43.0,72,72,3.72,48,46,0.0,0,27,0.9,7,3,0
Victor Henry,36.0,67,68,8.26,54,47,0.0,0,78,0.6,23,6,0
Ismael Bonfim,28.0,68,71,4.91,57,76,1.11,28,81,0.0,19,4,0
Edson Gomez,33.0,68,69,2.66,32,45,0.0,0,0,0.0,6,2,0
Gokhan Saki,40.0,72,73,7.09,58,53,0.0,0,10,0.0,1,2,0
Alberto Mina,41.0,72,77,3.23,38,47,1.85,20,50,0.0,13,1,0
Herbert Burns,36.0,69,73,1.61,51,30,3.92,75,60,3.3,11,4,0
Zhang Weili,34.0,64,63,5.94,51,53,2.29,42,66,0.4,24,3,0
Robert Sanchez,38.0,66,66,0.96,40,46,3.61,62,50,0.7,8,2,0
Matthew Riddle,38.0,73,76,3.01,42,54,3.51,50,89,0.5,8,3,0
Sergey Khandozhko,31.0,73,74,3.41,41,60,0.76,28,61,0.0,28,6,1
Zac Pauga,36.0,74,76,4.46,62,58,0.38,7%,10,0.0,7,3,0
Igor Pokrajac,45.0,72,74,2.25,45,40,0.87,29,51,0.2,28,13,0
Yanal Ashmouz,28.0,69,68,3.08,42,59,0.92,50,50,0.0,7,1,0
Reginaldo Vieira,41.0,67,65,3.76,40,59,1.97,27,25,0.8,13,5,0
Tom Breese,32.0,75,73,3.34,50,60,0.0,0,70,1.1,12,3,0
Mallory Martin,30.0,64,63,4.42,48,55,2.28,43,25,0.3,7,5,0
Josefine Knutsson,28.0,63,60,3.73,52,64,2.67,72,10,0.0,7,0,0
Leslie Smith,41.0,69,66,7.56,40,51,0.0,0,62,0.0,10,7,1
Jin Soo Son,30.0,66,69,5.1,36,52,1.5,25,10,0.0,9,4,0
Raquel Pennington,35.0,67,67,4.14,52,60,0.9,27,63,0.7,16,9,0
Tamires Vidal,25.0,66,68,4.25,55,58,0.0,0,40,0.8,7,2,0
Robert Whittaker,33.0,72,73,4.57,42,59,0.81,38,82,0.0,26,7,0
Erick Gonzalez,32.0,71,75,2.4,36,40,6.0,55,50,0.0,14,8,0
Diana Belbita,27.0,67,68,6.54,42,51,0.91,62,65,0.0,15,9,0
Geoff Neal,33.0,71,75,4.97,50,57,0.46,44,87,0.1,15,6,0
Jeremy Horn,48.0,73,74,1.19,39,55,1.83,38,29,1.1,91,22,5
Rafael Estevam,27.0,68,69,2.94,64,34,3.35,19,0,0.7,12,0,0
Leah Letson,31.0,67,71,3.06,41,52,0.51,50,76,0.0,5,3,0
Ode Osbourne,32.0,67,73,3.74,39,45,1.37,27,68,0.3,12,6,0
JJ Aldrich,31.0,65,67,4.05,46,60,0.71,25,66,0.0,13,6,0
Fernando Gonzalez,40.0,69,68,4.47,47,65,0.86,33,43,1.4,26,14,0
Sam Sicilia,38.0,68,67,2.46,33,59,1.45,43,70,0.9,15,8,0
William Macario,32.0,71,75,4.92,54,65,1.85,45,78,0.0,9,3,0
Niklas Stolze,31.0,73,74,2.12,48,49,0.66,10,55,0.7,12,6,0
David Dvorak,31.0,65,68,3.48,43,59,0.58,30,70,0.2,20,6,0
Jim Alers,37.0,69,71,2.9,40,56,2.26,41,80,0.3,13,3,0
Cyrille Diabate,50.0,78,81,4.06,71,60,1.17,83,53,0.2,19,10,1
Darrius Flowers,29.0,69,71,2.94,54,43,0.63,20,60,0.0,12,7,1
Liana Jojua,28.0,64,62,2.42,30,54,1.71,66,50,1.3,8,5,0
Demetrious Johnson,37.0,63,66,3.43,54,67,3.35,56,65,0.5,27,3,1
Amanda Nunes,35.0,68,69,4.55,51,57,2.73,54,82,0.7,23,5,0
Akihiro Gono,49.0,67,68,2.18,48,63,1.01,84,46,0.5,35,21,8
Nurullo Aliev,23.0,70,72,2.5,51,59,3.06,44,0,0.0,9,0,0
Matt Arroyo,41.0,70,72,1.62,47,58,2.12,36,10,5.3,3,3,0
Cheick Kongo,48.0,76,82,3.33,56,54,2.3,56,52,0.2,27,10,2
Kaloyan Kolev,31.0,74,73,1.12,45,42,10.1,60,0,0.0,10,1,0
Elise Reed,31.0,63,63,2.66,49,52,0.58,60,42,0.0,7,4,0
Bruno Silva,33.0,64,65,3.05,46,59,2.57,30,64,0.3,13,5,2
Marcel Fortuna,38.0,73,74,3.83,46,64,0.45,8%,75,0.5,9,3,0
Carlo Prater,42.0,71,72,2.03,47,35,0.43,9%,57,1.7,31,18,1
Deron Winn,34.0,66,70,4.55,44,46,4.28,52,40,0.0,7,3,0
Vinicius Cenci,28.0,73,74,2.9,48,62,1.61,50,0,0.0,7,2,0
Sam Patterson,27.0,75,78,2.54,38,49,1.19,10,33,3.6,11,2,1
Michael Graves,33.0,70,71,1.25,54,58,4.8,52,66,0.4,6,0,1
Jason Dent,43.0,70,71,2.01,39,62,0.0,0,26,1.4,22,13,0
Murtaza Talha,27.0,72,74,4.91,58,30,0.0,0,10,0.0,6,1,0
Geraldo de Freitas,32.0,67,72,3.67,52,50,3.0,45,59,0.0,12,6,0
Irwin Rivera,35.0,66,67,3.36,44,57,1.0,16,70,0.0,10,6,0
Chris Curtis,36.0,70,75,5.96,51,53,0.0,0,92,0.0,31,10,0
Jacobi Jones,27.0,69,72,5.87,46,48,0.0,0,33,0.0,6,2,0
Brandon Visher,39.0,66,68,2.55,45,42,0.67,20,0,0.0,13,3,0
Duane Ludwig,45.0,70,70,4.62,44,57,0.43,25,59,0.1,21,14,0
Rogerio Bontorin,31.0,65,67,2.63,52,50,2.9,60,51,1.0,16,4,0
Eric Spicely,37.0,73,73,3.71,45,55,1.31,20,75,1.0,12,6,0
AJ Dobson,32.0,73,76,4.38,47,47,1.82,75,64,0.3,7,2,0
Joe Doerksen,46.0,72,75,1.43,42,50,2.02,33,33,2.3,51,16,0
Rodolfo Bellato,28.0,75,77,6.47,61,44,1.09,25,10,0.5,12,2,0
Drako Rodriguez,27.0,68,69,3.37,36,58,2.93,66,75,0.7,7,3,0
Jarno Errens,29.0,71,73,1.67,38,52,0.0,0,33,0.5,13,5,1
Chris Wade,36.0,70,70,1.7,53,51,2.6,51,55,1.1,12,3,0
Khama Worthy,37.0,71,74,4.18,48,46,0.0,0,57,0.7,16,9,0
Josiah Harrell,25.0,67,68,0.0,0,0,0.0,0,0,0.0,7,0,0
Joe Proctor,38.0,70,72,3.39,36,59,0.0,0,70,1.8,11,5,0
Sean McCorkle,47.0,79,81,0.85,44,52,2.12,40,33,4.2,17,7,0
Michael Trizano,32.0,71,71,3.63,53,50,0.36,66,72,0.5,11,3,0
Elias Urbina,30.0,75,77,3.85,37,50,0.0,0,0,0.0,3,1,0
Trey Waters,29.0,77,77,6.45,45,61,0.78,50,77,0.8,8,1,0
Rodrigo Nascimento,31.0,74,80,4.31,48,43,1.2,33,77,0.7,11,1,0
Michael Bisping,45.0,73,75,4.33,38,65,1.05,43,63,0.3,30,9,0
Justin Ledet,35.0,76,80,3.35,39,49,0.23,50,42,0.2,9,4,0
Rafael Rebello,43.0,65,67,2.19,32,58,2.82,33,75,0.5,9,4,0
Jeremiah Wells,37.0,69,74,2.41,43,48,3.08,44,80,0.8,12,4,1
Diego Brandao,36.0,67,64,2.94,47,62,3.21,68,80,0.6,22,11,0
Jeff Hughes,35.0,74,77,3.95,51,60,0.71,50,45,0.0,10,4,0
Zviad Lazishvili,32.0,66,69,4.2,39,51,0.0,0,0,0.0,13,1,0
Lerone Murphy,32.0,69,73,3.65,50,56,1.29,46,46,0.9,13,0,1
Khusein Askhabov,29.0,68,69,2.0,26,56,0.0,0,66,0.0,23,1,0
Justin Burlinson,26.0,73,74,1.24,40,61,0.0,0,10,9.3,6,1,0
CJ Hamilton,37.0,67,68,2.47,31,58,0.0,0,62,0.0,11,4,0
Steve Steinbeiss,42.0,75,75,3.92,55,49,0.44,50,58,0.0,9,4,0
Adrian Yanez,30.0,67,70,6.15,39,57,0.0,0,10,0.0,16,5,0
John Hathaway,36.0,73,75,3.4,40,62,2.61,43,60,0.9,17,2,0
Khadis Ibragimov,28.0,75,78,3.55,49,47,0.97,30,80,0.3,8,4,0
Aleksei Kunchenko,39.0,68,70,3.67,44,63,0.25,33,80,0.0,20,2,0
Wang Guan,37.0,69,71,4.73,43,60,0.0,0,0,0.0,20,1,1
Zhang Tiequan,45.0,68,69,1.23,36,51,1.95,58,75,3.4,15,4,0
Amiran Gogoladze,26.0,73,74,1.64,66,0,0.0,0,0,0.0,14,3,0
Jon Madsen,44.0,72,72,2.46,41,81,1.32,71,70,0.0,8,2,0
Matt Grice,42.0,68,70,4.09,53,56,2.19,37,82,0.5,15,5,0
Yancy Medeiros,36.0,70,75,4.36,37,47,0.33,50,73,0.7,15,8,0
Josh Emmett,39.0,66,70,4.04,36,61,0.91,37,46,0.1,19,4,0
Nadia Kassem,28.0,65,66,3.13,41,48,0.46,33,40,2.8,5,2,0
Mandy Bohm,34.0,67,71,2.51,45,60,0.72,18,75,0.7,8,2,0
Nate Diaz,38.0,72,76,4.57,45,52,1.05,30,41,1.3,22,13,0
Jay Perrin,30.0,67,67,3.71,46,44,2.83,52,58,0.0,10,7,0
Alexandre Pantoja,33.0,65,67,4.32,49,50,2.2,48,67,1.0,27,5,0
Khalid Taha,32.0,65,69,2.64,32,46,0.0,0,61,0.2,13,5,0
Danny Martinez,38.0,66,67,2.73,28,63,3.0,45,36,0.0,21,8,0
Elvis Sinosic,53.0,75,77,1.13,37,53,0.0,0,0,1.2,7,11,2
Gabriella Fernandes,30.0,66,66,1.63,47,47,0.0,0,61,0.0,8,3,0
Malcolm Gordon,33.0,67,71,2.5,45,43,1.72,35,26,1.0,14,8,0
Shane Carwin,49.0,74,80,4.38,47,53,1.42,33,42,0.0,12,2,0
James Vick,37.0,75,76,4.13,39,60,0.26,33,57,0.7,13,5,0
Rodney Wallace,42.0,69,72,1.13,46,45,6.0,54,28,1.0,26,15,1
Yosdenis Cedeno,39.0,68,69,1.64,29,67,0.0,0,31,0.3,10,6,1
Makwan Amirkhani,35.0,70,72,1.33,44,46,3.96,43,35,1.1,17,9,0
Jessamyn Duke,37.0,71,73,4.83,53,57,1.27,36,50,1.9,3,5,0
Ricky Steele,35.0,69,74,4.07,70,50,0.0,0,91,0.0,6,0,0
Sean Soriano,34.0,69,70,3.18,61,56,1.33,55,52,0.0,14,8,0
Rory Markham,41.0,72,71,1.98,21,45,0.0,0,0,0.0,17,6,0
Aaron Simpson,49.0,72,73,3.6,52,56,3.78,34,83,0.5,12,5,0
Sung Bin Jo,31.0,72,72,1.4,33,51,1.0,33,83,1.0,9,1,0
Micheal Gillmore,36.0,71,72,2.04,57,43,0.0,0,50,0.0,6,5,0
Dominic Waters,34.0,73,79,0.48,23,39,4.07,52,28,0.0,9,5,0
Richie Santiago,31.0,67,67,3.87,49,42,0.0,0,25,0.0,7,2,0
Hacran Dias,39.0,68,69,2.08,41,55,2.5,39,76,0.5,23,6,1
Jared Rosholt,37.0,74,75,2.08,46,59,1.83,41,66,0.1,14,4,0
Hunter Azure,32.0,68,69,3.92,53,58,1.97,34,67,1.3,9,2,0
Dooho Choi,32.0,70,70,4.74,53,54,0.29,20,50,0.0,14,4,1
Tim Credeur,46.0,75,75,3.59,30,57,0.41,10,50,3.3,12,4,0
Constantinos Philippou,44.0,71,73,2.19,35,54,0.4,42,65,0.3,13,5,0
Germaine de Randamie,39.0,69,71,2.72,46,65,0.0,0,69,0.4,10,4,0
Peter Petties,33.0,71,72,2.61,29,48,0.0,0,0,0.0,5,3,0
John Allan,31.0,73,75,3.56,42,52,1.4,71,50,0.8,13,7,0
Jonathan Goulet,44.0,72,73,1.61,41,46,4.17,70,45,0.6,23,12,0
Magomed Ankalaev,31.0,75,75,3.64,53,59,1.02,31,86,0.0,19,1,1
Jared Gooden,30.0,72,77,5.08,49,48,0.67,10,65,0.2,23,9,0
Greg Hardy,35.0,77,80,4.79,50,55,0.2,33,64,0.0,7,5,0
Maria Oliveira,27.0,66,69,5.03,38,44,0.95,44,47,0.0,13,7,0
Luis Pajuelo,29.0,70,69,9.15,61,62,0.0,0,66,0.0,8,1,0
Gabriel Miranda,33.0,71,71,3.52,51,39,4.8,40,0,2.4,17,6,0
Josh Grispi,35.0,71,74,1.44,41,50,1.97,36,16,2.2,14,5,0
Kasey Tanner,32.0,67,69,6.6,50,63,2.0,33,0,0.0,6,1,0
Ivan Shtyrkov,35.0,72,74,0.0,0,0,0.0,0,0,0.0,15,0,1
Charlie Brenneman,43.0,70,70,1.52,56,46,4.23,42,72,0.0,19,8,0
Jamal Pogues,28.0,75,77,3.36,44,50,2.4,48,77,0.0,11,4,0
Kendall Grove,41.0,78,79,2.31,41,54,0.49,45,56,1.7,23,17,0
Rizvan Kuniev,31.0,76,76,7.09,73,51,4.09,75,0,0.0,11,2,1
Caio Machado,29.0,76,78,6.57,64,64,0.0,0,82,0.0,8,2,1
Ryan Hall,39.0,70,70,2.38,50,65,0.22,9%,0,2.2,9,2,0
Assu Almabayev,30.0,64,65,3.18,65,77,3.67,40,0,3.7,18,2,0
Georges St-Pierre,42.0,71,76,3.78,53,72,4.16,74,83,1.1,26,2,0
Carlos Vera,36.0,66,69,0.8,48,45,0.0,0,0,0.0,11,4,0
Sabah Homasi,35.0,72,72,4.98,48,47,2.8,50,66,0.0,11,8,0
Jamey Simmons,31.0,66,70,0.79,21,74,0.0,0,50,0.0,7,4,0
Michel Prazeres,42.0,66,67,2.38,47,57,3.94,36,47,0.6,26,4,0
Martin Bravo,30.0,68,71,7.66,39,51,2.6,35,85,0.0,11,3,0
Matt Brown,43.0,72,75,3.76,55,55,1.68,46,63,1.3,26,19,0
Josh Stansbury,39.0,74,74,3.22,54,54,0.0,0,87,1.0,4,8,0
Peter Danesoe,23.0,69,68,4.98,54,37,0.0,0,62,0.0,6,3,0
Justin Jaynes,34.0,67,68,3.34,44,62,0.75,40,20,1.1,16,8,0
Jack Shore,29.0,68,71,3.84,58,57,3.42,40,79,0.7,17,1,0
Tagir Ulanbekov,32.0,67,70,3.22,45,51,3.71,46,61,2.1,15,2,0
