fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Jason Saggo,38.0,71,71,2.5,39,52,2.33,40,23,0.0,12,4,0
Dave Jansen,44.0,69,73,2.94,33,58,2.79,28,38,0.9,20,4,0
Michael Chandler,37.0,68,71,4.89,46,46,2.17,38,71,0.9,23,8,0
Anthony Ivy,34.0,74,74,2.5,42,51,4.69,20,10,0.0,8,4,0
Mike Malott,32.0,73,73,3.83,46,52,3.04,60,16,1.0,10,2,1
Leon Shahbazyan,28.0,76,74,6.33,52,32,1.46,50,0,0.0,7,2,0
Mark Climaco,26.0,64,65,4.13,59,57,3.5,36,46,0.0,9,2,0
Donald Cerrone,40.0,73,73,4.41,46,53,1.16,33,73,1.2,36,17,0
Domingo Pilarte,34.0,72,73,1.31,47,40,1.2,42,54,0.8,8,3,0
Christian Morecraft,37.0,78,81,2.82,34,46,3.26,66,50,2.2,8,3,0
Montserrat Rendon,34.0,68,68,4.6,37,44,3.0,60,10,0.0,6,0,0
Dequan Townsend,37.0,75,79,1.23,34,38,0.0,0,46,0.0,21,12,0
Andre Fialho,29.0,72,74,3.3,41,45,0.25,10,66,0.0,16,8,0
Drew Dober,35.0,68,70,4.34,40,51,0.71,18,56,0.1,27,13,0
Maryna Moroz,32.0,67,67,4.15,31,53,0.67,22,45,0.7,11,5,0
Sean Brady,31.0,70,72,3.77,53,61,3.29,57,87,1.2,16,1,0
Gilbert Melendez,41.0,69,73,3.44,33,63,1.64,41,71,0.2,22,8,0
Erin Blanchfield,24.0,64,66,5.58,52,62,2.86,36,83,1.2,12,1,0
Shamil Gaziev,34.0,76,78,6.19,51,60,0.0,0,10,1.8,12,0,0
Emil Meek,35.0,71,74,2.52,39,38,0.25,33,47,1.0,9,5,1
CB Dollaway,40.0,74,76,2.65,47,54,3.55,54,62,1.2,17,9,0
Glaico Franca Moreira,33.0,72,77,2.35,42,47,2.68,42,76,0.3,15,5,0
Tyson Nam,40.0,67,68,3.87,33,65,0.0,0,87,0.0,21,14,1
Alex Da Silva,28.0,68,73,2.14,46,56,1.97,43,76,0.3,21,4,0
Dylan Budka,24.0,72,75,1.47,66,52,2.0,28,10,1.0,7,2,0
Chris Kelades,43.0,67,68,2.4,43,48,1.04,18,53,0.3,9,3,0
